CustomerID,CustomerName,HomeCity,TravelSegment,Gender
1,Passenger 0001,New York,Leisure,Other
2,Passenger 0002,Paris,Student,Female
3,Passenger 0003,Kuala Lumpur,Business,Other
4,Passenger 0004,Istanbul,Family,Other
5,Passenger 0005,Istanbul,Student,Female
6,Passenger 0006,Toronto,Student,Other
7,Passenger 0007,New York,Family,Male
8,Passenger 0008,Kuala Lumpur,Student,Male
9,Passenger 0009,Dubai,Business,Female
10,Passenger 0010,New York,Leisure,Other
11,Passenger 0011,Singapore,Business,Female
12,Passenger 0012,Sydney,Student,Female
13,Passenger 0013,Paris,Business,Other
14,Passenger 0014,Paris,Business,Other
15,Passenger 0015,Paris,Student,Other
16,Passenger 0016,Paris,Student,Male
17,Passenger 0017,Singapore,Student,Other
18,Passenger 0018,London,Family,Female
19,Passenger 0019,Toronto,Family,Female
20,Passenger 0020,Istanbul,Business,Female
21,Passenger 0021,Singapore,Family,Male
22,Passenger 0022,Doha,Student,Male
23,Passenger 0023,London,Student,Female
24,Passenger 0024,Sydney,Business,Other
25,Passenger 0025,Paris,Student,Other
26,Passenger 0026,Kuala Lumpur,Student,Male
27,Passenger 0027,Istanbul,Student,Other
28,Passenger 0028,Toronto,Business,Male
29,Passenger 0029,Singapore,Student,Other
30,Passenger 0030,Istanbul,Family,Female
31,Passenger 0031,Istanbul,Student,Female
32,Passenger 0032,Dubai,Business,Other
33,Passenger 0033,New York,Family,Female
34,Passenger 0034,Singapore,Family,Other
35,Passenger 0035,Toronto,Business,Female
36,Passenger 0036,New York,Family,Other
37,Passenger 0037,Toronto,Leisure,Female
38,Passenger 0038,Toronto,Student,Male
39,Passenger 0039,Dubai,Leisure,Other
40,Passenger 0040,Kuala Lumpur,Family,Female
41,Passenger 0041,London,Family,Female
42,Passenger 0042,Paris,Family,Male
43,Passenger 0043,Paris,Family,Male
44,Passenger 0044,Doha,Family,Female
45,Passenger 0045,New York,Business,Male
46,Passenger 0046,Sydney,Leisure,Other
47,Passenger 0047,Istanbul,Student,Other
48,Passenger 0048,Toronto,Student,Other
49,Passenger 0049,Kuala Lumpur,Business,Other
50,Passenger 0050,Paris,Business,Female
51,Passenger 0051,Paris,Student,Male
52,Passenger 0052,London,Student,Female
53,Passenger 0053,Doha,Business,Female
54,Passenger 0054,Istanbul,Business,Other
55,Passenger 0055,Istanbul,Business,Male
56,Passenger 0056,New York,Student,Female
57,Passenger 0057,Singapore,Business,Female
58,Passenger 0058,London,Student,Male
59,Passenger 0059,Paris,Leisure,Male
60,Passenger 0060,Kuala Lumpur,Leisure,Female
61,Passenger 0061,Sydney,Student,Male
62,Passenger 0062,Paris,Student,Male
63,Passenger 0063,Doha,Student,Female
64,Passenger 0064,Sydney,Family,Male
65,Passenger 0065,Istanbul,Family,Female
66,Passenger 0066,Doha,Family,Male
67,Passenger 0067,Sydney,Student,Male
68,Passenger 0068,Doha,Leisure,Female
69,Passenger 0069,New York,Business,Other
70,Passenger 0070,Istanbul,Student,Female
71,Passenger 0071,Paris,Business,Other
72,Passenger 0072,London,Family,Female
73,Passenger 0073,Istanbul,Family,Female
74,Passenger 0074,London,Business,Female
75,Passenger 0075,Kuala Lumpur,Family,Other
76,Passenger 0076,Istanbul,Business,Other
77,Passenger 0077,Doha,Student,Other
78,Passenger 0078,Dubai,Business,Other
79,Passenger 0079,Singapore,Leisure,Female
80,Passenger 0080,Kuala Lumpur,Student,Female
81,Passenger 0081,Sydney,Student,Other
82,Passenger 0082,Istanbul,Leisure,Male
83,Passenger 0083,London,Family,Female
84,Passenger 0084,Toronto,Family,Other
85,Passenger 0085,Kuala Lumpur,Business,Female
86,Passenger 0086,Paris,Student,Male
87,Passenger 0087,New York,Student,Female
88,Passenger 0088,Doha,Leisure,Male
89,Passenger 0089,Paris,Student,Other
90,Passenger 0090,Toronto,Family,Other
91,Passenger 0091,Istanbul,Family,Male
92,Passenger 0092,Toronto,Family,Female
93,Passenger 0093,Toronto,Student,Other
94,Passenger 0094,Doha,Leisure,Other
95,Passenger 0095,Toronto,Family,Male
96,Passenger 0096,Dubai,Leisure,Female
97,Passenger 0097,Dubai,Student,Female
98,Passenger 0098,Kuala Lumpur,Leisure,Female
99,Passenger 0099,Kuala Lumpur,Leisure,Male
100,Passenger 0100,London,Business,Male
101,Passenger 0101,Toronto,Family,Other
102,Passenger 0102,London,Business,Male
103,Passenger 0103,Toronto,Business,Male
104,Passenger 0104,New York,Family,Male
105,Passenger 0105,Paris,Student,Male
106,Passenger 0106,Paris,Leisure,Male
107,Passenger 0107,Paris,Student,Female
108,Passenger 0108,Kuala Lumpur,Leisure,Other
109,Passenger 0109,Istanbul,Business,Male
110,Passenger 0110,Paris,Student,Male
111,Passenger 0111,Dubai,Business,Male
112,Passenger 0112,Paris,Student,Female
113,Passenger 0113,Singapore,Family,Male
114,Passenger 0114,Istanbul,Family,Other
115,Passenger 0115,Singapore,Leisure,Female
116,Passenger 0116,Singapore,Family,Other
117,Passenger 0117,New York,Student,Female
118,Passenger 0118,London,Leisure,Female
119,Passenger 0119,Dubai,Business,Other
120,Passenger 0120,London,Leisure,Female
121,Passenger 0121,Istanbul,Student,Other
