TransactionID,TransactionDate,RouteID,TransactionType,Amount
1,2024-04-17,9,Maintenance,-635.35
2,2024-05-08,2,Fuel,-10441.93
3,2025-09-12,14,Maintenance,-3296.8
4,2026-05-05,15,Maintenance,-6120.44
5,2024-08-20,15,Catering,-19259.7
6,2025-07-07,11,Crew Cost,-2460.42
7,2024-07-05,14,Crew Cost,-8502.17
8,2026-07-13,1,Maintenance,-4224.96
9,2025-05-25,15,Ticket Revenue,19286.9
10,2024-09-20,4,Baggage Revenue,9891.71
11,2024-04-23,15,Airport Fees,-12208.23
12,2024-06-25,12,Crew Cost,-3652.81
13,2026-02-19,11,Airport Fees,-22719.26
14,2026-04-15,14,Ticket Revenue,21747.14
15,2025-08-21,3,Catering,-19787.54
16,2025-12-20,1,Maintenance,-20840.13
17,2024-07-14,3,Airport Fees,-24891.61
18,2024-07-22,2,Maintenance,-13615.51
19,2024-05-02,1,Baggage Revenue,21738.89
20,2024-12-02,2,Ticket Revenue,21953.62
21,2025-07-25,9,Crew Cost,-12154.63
22,2024-10-31,14,Maintenance,-4662.91
23,2024-04-13,1,Maintenance,-14325.42
24,2025-11-06,14,Airport Fees,-19688.01
25,2024-03-13,3,Fuel,-16879.16
26,2024-07-25,10,Ticket Revenue,18012.14
27,2024-02-28,7,Fuel,-4947.14
28,2024-03-14,7,Maintenance,-2879.71
29,2024-02-21,6,Airport Fees,-7890.89
30,2026-02-22,9,Catering,-13688.61
31,2024-06-29,5,Airport Fees,-5601.4
32,2024-01-12,10,Baggage Revenue,5054.06
33,2026-02-06,11,Airport Fees,-24638.28
34,2025-08-05,13,Crew Cost,-18961.37
35,2026-07-04,9,Crew Cost,-9189.43
36,2024-10-22,11,Maintenance,-3334.09
37,2026-07-05,2,Catering,-4018.71
38,2025-02-09,11,Baggage Revenue,10100.84
39,2025-07-26,8,Maintenance,-5509.85
40,2024-03-05,15,Baggage Revenue,889.47
41,2024-04-27,11,Ticket Revenue,20243.71
42,2024-06-07,3,Catering,-6732.46
43,2025-12-01,11,Ticket Revenue,21558.41
44,2025-04-25,12,Ticket Revenue,23542.54
45,2025-11-25,9,Airport Fees,-12251.41
46,2025-01-02,15,Ticket Revenue,6536.38
47,2024-12-06,9,Crew Cost,-16142.93
48,2025-03-07,3,Crew Cost,-23737.53
49,2024-12-22,1,Baggage Revenue,18889.57
50,2024-01-06,6,Maintenance,-4097.36
51,2024-10-17,4,Fuel,-20641.65
52,2026-06-08,6,Fuel,-14209.99
53,2025-12-29,7,Airport Fees,-11601.34
54,2025-05-13,13,Fuel,-4798.44
55,2025-02-06,6,Baggage Revenue,13631.12
56,2025-02-20,9,Fuel,-18547.74
57,2025-10-27,11,Ticket Revenue,9641.9
58,2026-04-11,10,Maintenance,-23838.42
59,2025-04-01,11,Ticket Revenue,4486.56
60,2024-02-29,10,Fuel,-833.26
61,2025-09-21,12,Baggage Revenue,12827.06
62,2025-03-03,7,Fuel,-4521.02
63,2026-04-05,5,Airport Fees,-16157.8
64,2025-07-06,3,Catering,-11005.66
65,2024-01-15,1,Catering,-10453.05
66,2024-09-22,1,Airport Fees,-11534.54
67,2024-09-16,1,Fuel,-3291.28
68,2024-09-05,5,Baggage Revenue,7085.23
69,2025-03-19,7,Baggage Revenue,11358.18
70,2024-06-03,15,Catering,-19176.52
71,2026-01-14,8,Airport Fees,-22150.9
72,2025-11-07,13,Baggage Revenue,7001.73
73,2024-12-04,9,Maintenance,-4183.28
74,2025-10-02,4,Fuel,-9327.93
75,2026-04-17,8,Ticket Revenue,9400.62
76,2025-01-27,5,Maintenance,-11498.53
77,2025-03-23,10,Ticket Revenue,15418.93
78,2024-04-05,8,Ticket Revenue,10746.19
79,2025-06-15,2,Fuel,-6573.6
80,2024-06-26,10,Catering,-2302.89
81,2024-01-28,9,Crew Cost,-20148.4
82,2025-01-21,2,Airport Fees,-18551.4
83,2025-11-03,11,Crew Cost,-21429.84
84,2024-08-25,1,Ticket Revenue,4973.38
85,2024-05-19,7,Fuel,-21296.44
86,2025-12-06,10,Crew Cost,-22615.65
87,2024-06-22,10,Ticket Revenue,21180.79
88,2024-03-16,10,Baggage Revenue,1246.59
89,2024-01-11,10,Crew Cost,-8852.07
90,2025-01-09,9,Crew Cost,-24198.53
91,2025-01-17,7,Maintenance,-13605.19
92,2026-04-30,5,Catering,-19307.73
93,2025-11-30,12,Baggage Revenue,7932.05
94,2024-11-19,8,Airport Fees,-11345.63
