EmployeeID,EmployeeName,Department,Level,AnnualSalary,PerformanceScore,EmployeeSatisfaction
1,Employee 0001,Customer Service,Manager,37856,78,3.86
2,Employee 0002,Ground Operations,Mid,41968,84,4.41
3,Employee 0003,Engineering,Junior,46080,84,4.02
4,Employee 0004,Ground Operations,Mid,88501,76,4.8
5,Employee 0005,Cabin Crew,Manager,98915,83,4.38
6,Employee 0006,Customer Service,Senior,82989,88,4.05
7,Employee 0007,Customer Service,Junior,65314,73,4.66
8,Employee 0008,Flight Operations,Junior,95443,96,4.09
9,Employee 0009,Cabin Crew,Manager,55885,90,3.6
10,Employee 0010,Customer Service,Junior,92430,93,3.24
11,Employee 0011,Engineering,Junior,84461,85,3.7
12,Employee 0012,Engineering,Senior,89930,78,4.27
13,Employee 0013,Flight Operations,Junior,55692,91,4.96
14,Employee 0014,Engineering,Senior,83426,97,4.49
15,Employee 0015,Ground Operations,Junior,48797,74,4.24
16,Employee 0016,Engineering,Manager,99367,81,3.4
17,Employee 0017,Cabin Crew,Junior,41631,97,4.41
18,Employee 0018,Engineering,Mid,93430,96,4.05
19,Employee 0019,Ground Operations,Mid,79827,95,4.48
20,Employee 0020,Cabin Crew,Mid,90186,73,3.73
21,Employee 0021,Cabin Crew,Mid,40241,73,3.96
22,Employee 0022,Flight Operations,Senior,44194,98,4.05
23,Employee 0023,Engineering,Mid,59624,95,3.72
24,Employee 0024,Ground Operations,Senior,107911,80,4.16
25,Employee 0025,Customer Service,Senior,69365,79,3.55
26,Employee 0026,Cabin Crew,Mid,100700,83,3.15
27,Employee 0027,Cabin Crew,Manager,58252,70,3.36
28,Employee 0028,Engineering,Junior,75161,95,3.99
29,Employee 0029,Flight Operations,Manager,67450,96,3.13
30,Employee 0030,Ground Operations,Junior,102500,90,3.77
31,Employee 0031,Ground Operations,Senior,65181,75,4.35
32,Employee 0032,Cabin Crew,Junior,75357,86,4.02
33,Employee 0033,Ground Operations,Senior,57192,82,4.11
34,Employee 0034,Engineering,Mid,76270,90,4.45
35,Employee 0035,Cabin Crew,Junior,78735,71,3.24
36,Employee 0036,Cabin Crew,Mid,98182,85,3.53
37,Employee 0037,Cabin Crew,Mid,75424,94,3.85
38,Employee 0038,Ground Operations,Junior,64021,70,3.54
39,Employee 0039,Engineering,Mid,80322,98,3.88
40,Employee 0040,Ground Operations,Senior,88963,84,4.79
41,Employee 0041,Customer Service,Junior,57391,71,3.23
42,Employee 0042,Engineering,Mid,95248,88,3.59
43,Employee 0043,Flight Operations,Mid,62246,90,4.73
44,Employee 0044,Ground Operations,Senior,102442,73,4.13
45,Employee 0045,Engineering,Senior,62616,84,4.94
46,Employee 0046,Cabin Crew,Manager,81976,76,3.34
47,Employee 0047,Cabin Crew,Senior,57936,97,4.51
48,Employee 0048,Flight Operations,Mid,56635,76,4.68
49,Employee 0049,Flight Operations,Manager,43842,73,4.92
50,Employee 0050,Ground Operations,Junior,93660,86,3.32
51,Employee 0051,Customer Service,Manager,70356,97,4.07
52,Employee 0052,Customer Service,Mid,41926,76,3.81
53,Employee 0053,Ground Operations,Mid,54107,96,4.21
54,Employee 0054,Cabin Crew,Junior,83710,76,3.16
55,Employee 0055,Ground Operations,Manager,89791,97,3.95
56,Employee 0056,Customer Service,Junior,88072,82,3.06
57,Employee 0057,Cabin Crew,Junior,105719,82,3.62
58,Employee 0058,Ground Operations,Manager,100671,93,4.64
59,Employee 0059,Ground Operations,Manager,63322,84,3.93
60,Employee 0060,Flight Operations,Junior,64637,78,4.7
61,Employee 0061,Customer Service,Manager,52557,81,3.12
62,Employee 0062,Flight Operations,Mid,91581,77,4.4
63,Employee 0063,Ground Operations,Manager,89506,83,3.12
64,Employee 0064,Flight Operations,Junior,77347,85,3.31
65,Employee 0065,Cabin Crew,Junior,88809,90,4.61
66,Employee 0066,Ground Operations,Junior,82124,80,3.04
